LABEL,TEXT
ham,Hi! You just spoke to DEEPAK. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.
ham,Yay can't wait to party together!
ham,At what time are you coming.
smishing,"Dear customer your PAY2TMKYC has been expired, Itï¿½s will be bl0cked within 24 hour, please contact customer! Care phï¿½ 6200992462 immediately to verify"
ham,Yo you around? A friend of mine's lookin to pick up later tonight
smishing,Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552.
ham,Where are you call me.
ham,Anytime...
ham,Just wait till end of march when el nino gets himself. Oh.
spam,Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth Â£33:50 only ..To stop go2 notxt.co.uk
ham,I got to video tape pple type in message lor. U so free wan 2 help me? Hee... Cos i noe u wan 2 watch infernal affairs so ask u along. Asking shuhui oso.
ham,"It's not that you make me cry. It's just that when all our stuff happens on top of everything else, it pushes me over the edge. You don't underdtand how often i cry over my sorry, sorry life."
ham,When Ã¼ login dat time... Dad fetching Ã¼ home now?
spam,We have new local dates in your area - Lots of new people registered in YOUR AREA. Reply DATE to start now! 18 only www.flirtparty.us REPLYS150
ham,What's up my own oga. Left my phone at home and just saw ur messages. Hope you are good. Have a great weekend.
smishing,"Todays Vodafone numbers ending 5263 are selected to receive a Rs.2,00,000 award. If you have a match please call 6200992462 quoting claim code 4267 standard rates apply"
ham,"Hm good morning, headache anyone? :-)"
ham,I know a few people I can hit up and hit to the yes
spam,Now GET RID OF -Cockroach -Termite -Bedbug -Rats -Any Pest 4Best DEALS in PestControlServices/ Chemical/Herbal/Odorless DIAL-N-ASK 080-62222222
ham,Prof: you have passed in all the papers in this sem congrats . . . . Student: Enna kalaachutaarama..!! Prof:???? Gud mrng!
ham,Ay wana meet on sat?Ã¼ wkg on sat?
ham,Ok no prob... I'll come after lunch then...
ham,No calls..messages..only missed calls
ham,"Received, understood n acted upon!"
ham,K.k:)when are you going?
ham,Jus came back fr lunch wif my sis only. U leh?
ham,I want to be inside you every night...
ham,Do you work all this week ?
smishing,"Dear Sir Your Bank card has been blocked because you did not updated yet, If you want to update your ATM card please contact +971586153091 +971523182746"
ham,Ugh. Gotta drive back to sd from la. My butt is sore.
ham,Pass dis to all ur contacts n see wat u get! Red;i'm in luv wid u. Blue;u put a smile on my face. Purple;u r realy hot. Pink;u r so swt. Orange;i thnk i lyk u. Green;i realy wana go out wid u. Yelow;i wnt u bck. Black;i'm jealous of u. Brown;i miss you Nw plz giv me one color
ham,"Gal n boy walking in d park. gal-can i hold ur hand? boy-y? do u think i would run away? gal-no, jst wana c how it feels walking in heaven with an prince..GN:-)"
spam,Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56
ham,Mode men or have you left.
ham,Goin to workout lor... Muz lose e fats...
ham,"Painful words- ""I thought being Happy was the most toughest thing on Earth... But, the toughest is acting Happy with all unspoken pain inside.."""
spam,"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT"
ham,"Very hurting n meaningful lines ever: ""I compromised everything for my love, But at d end my love compromised me for everything:-("".. Gud mornin:-)"
ham,Yes! How is a pretty lady like you single?
ham,Have you not finished work yet or something?
smishing,"You are being contacted by our Dating Service by someone you know! To find out who it is, call from your mobile or landline 09064017305 PoBox75LDNS7 "
ham,Thats cool. Where should i cum? On you or in you? :)
ham,Okay same with me. Well thanks for the clarification
ham,"Just dropped em off, omw back now"
ham,Yup i've finished c Ã¼ there...
ham,"I'm tired of arguing with you about this week after week. Do what you want and from now on, i'll do the same."
ham,"Alright we'll bring it to you, see you in like  &lt;#&gt;  mins"
ham,Hey i booked the kb on sat already... what other lessons are we going for ah? Keep your sat night free we need to meet and confirm our lodging
